Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1728.5719,23.5234,23.2961,0.2273,22.8581,3.5557,2.6918,0.8639,30.4864,20.8455,0.1105,1728.5719,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1752.0953,23.6906,23.5311,0.1595,23.2824,3.0106,2.7689,0.2417,27.8085,29.1881,2.6779,1752.0953,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1775.7859,24.5176,24.3374,0.1802,23.9450,4.1160,3.2368,0.8792,33.3060,20.8193,-5.4975,1775.7859,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1800.3035,23.8638,23.6512,0.2126,22.9327,5.1557,4.4190,0.7367,29.6077,24.9884,3.6983,1800.3035,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1824.1673,25.0972,24.8283,0.2689,24.3280,4.8597,4.1436,0.7161,30.7323,25.0283,-1.1246,1824.1673,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1849.2645,24.0373,23.8650,0.1723,23.3106,4.3582,4.1536,0.2046,30.6634,25.0015,0.0689,1849.2645,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1873.3018,22.7520,22.6142,0.1378,22.2958,4.5071,4.1915,0.3156,31.6276,20.8144,-0.9642,1873.3018,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1896.0538,23.1483,22.9862,0.1621,22.7324,4.4818,4.1527,0.3291,29.6900,29.1742,1.9376,1896.0538,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1919.2021,23.1633,23.0408,0.1225,22.7144,5.3283,4.9953,0.3330,35.7159,25.0138,-6.0259,1919.2021,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1942.3654,22.0468,21.9346,0.1122,21.6171,5.8186,5.5812,0.2374,37.5664,20.8428,-1.8505,1942.3654,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1964.4122,22.6277,22.5212,0.1065,22.1259,5.3060,4.8820,0.4240,36.3624,25.0053,1.2040,1964.4122,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,1987.0399,23.6684,23.3825,0.2859,23.4240,5.7422,5.0379,0.7043,38.7400,25.0085,-2.3776,1987.0399,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2010.7083,24.9750,24.4658,0.5092,24.0936,6.4347,6.1552,0.2795,40.0801,16.6649,-1.3401,2010.7083,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2035.6833,25.8915,25.6740,0.2175,25.2102,4.9727,4.2597,0.7130,31.7700,25.0210,8.3101,2035.6833,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2061.5748,24.9610,24.7352,0.2258,24.2454,4.9631,4.2672,0.6959,30.8995,29.1582,0.8705,2061.5748,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2086.5358,25.7857,25.5434,0.2423,25.2360,4.7097,4.3789,0.3308,35.0967,24.9968,-4.1972,2086.5358,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2112.3215,24.3942,24.2321,0.1621,24.0253,4.9793,4.6292,0.3501,34.3078,20.8439,0.7889,2112.3215,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2136.7157,22.5439,22.3920,0.1519,22.1308,4.8587,4.2413,0.6174,30.7575,25.0293,3.5503,2136.7157,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2159.2596,23.9247,23.7503,0.1744,23.2322,5.2223,4.3109,0.9114,33.2429,20.8118,-2.4854,2159.2596,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,2183.1843,23.2160,23.0725,0.1435,22.8302,4.4619,4.2193,0.2426,30.1300,25.0152,3.1129,2183.1843,NA,NA,NA
